productid,suggestion
HBV00000NE1T4,"['HBV00000NE1E9 - 0.17366660044879648', 'HBV00000NE1FA - 0.16557027587539572', 'HBV00000P7VR8 - 0.11716666551862354', 'HBV00000NE259 - 0.09993210099197178', 'HBV00000NE0TW - 0.09717209241098047', 'HBV00000NE1BO - 0.09680663680300759', 'HBV00000NE1XR - 0.0766494680535485', 'HBV00000NE257 - 0.06461783680496708']"
HBV00000NE1T6,"['HBV00000NE1OA - 0.10577564842405764', 'HBV00000NE158 - 0.08818971331618948', 'HBV00000NE1FA - 0.03427347688254162', 'HBV00000PQP69 - 0.00690741948020828']"
HBV00000NE1VR,['HBV00000PQLUB - 0.40931645267258276']
HBV00000NE1VV,"['HBV00000PVCSW - 0.4279434885856507', 'HBV00000PQLS4 - 0.41672542500294857', 'HBV00000PVCSA - 0.41430671484652365', 'ZYULKER0009204 - 0.27438382514802634', 'HBV00000PLGTZ - 0.2714434188693174', 'ZYULKER0007804 - 0.2660825924509335', 'HBV00000PV799 - 0.24243192656970106', 'HBV00000PVCRI - 0.2398396331860206', 'ZYULKER0007200 - 0.2293587037211778', 'HBV00000PV795 - 0.20908206617906713', 'HBV00000PVQ93 - 0.20239305206246733', 'HBV00000PV7AZ - 0.1582990147346945', 'HBV00000QU6IH - 0.1540699122432953', 'HBV00000PVQ95 - 0.15225693162783405', 'HBV00000JUHN2 - 0.1375522473058565', 'HBV00000QU6IN - 0.11262589897492772', 'HBV00000QX1T5 - 0.11105838129186314', 'HBV00000PV79S - 0.10795574069149626', 'HBV00000PQLVL - 0.0892908953809915', 'HBV00000QU3YV - 0.08421765649329044', 'HBV00000U2B4S - 0.0603656371734936', 'HBV00000JUHKU - 0.038565890883618094', 'HBV00000PNGHQ - 0.010172200423802367']"
HBV00000NE1WR,['HBV00000NE24J - 0.7322449647826639']
HBV00000NE1WT,['HBV00000NE24P - 0.0321218577256805']
HBV00000NE1XN,['HBV00000NE24Z - 0.24295578264682696']
HBV00000NE1XR,"['HBV00000NE0WG - 0.29935926957858533', 'HBV00000NE1E9 - 0.29085428477823017', 'HBV00000NE1BO - 0.26598010104840947', 'HBV00000NE259 - 0.17198134506232268', 'HBV00000NE1ER - 0.1611388666014909', 'HBV00000NE1OA - 0.13027713757497397', 'HBV00000NE257 - 0.10887173845969011', 'HBV00000NE1SP - 0.09753361996601716', 'HBV00000NE1FA - 0.08583188084513965', 'HBV00000NE158 - 0.07801687577353995', 'HBV00000NE1T4 - 0.0766494680535485', 'HBV00000NE0T4 - 0.050914246526739454', 'HBV00000P7VR8 - 0.044915547638691586', 'HBV00000NE1HJ - 0.029659676790172614', 'HBV00000NE0ZW - 0.002830832490552051']"
HBV00000NE207,['HBV00000NE209 - 0.591270494504982']
HBV00000NE209,['HBV00000NE207 - 0.591270494504982']
HBV00000NE20X,['HBV00000O2SC1 - 0.31412964817226474']
HBV00000NE23X,"['HBV00000NE0S5 - 0.4717491979061062', 'HBV00000NE12W - 0.4617115069843677', 'HBV00000NE0XG - 0.4043765854310489', 'HBV00000NE12U - 0.3559898883324695', 'HBV00000NG8JY - 0.002846620715520312']"
HBV00000NE241,"['HBV00000NE130 - 0.5459555194192115', 'HBV00000NE0XM - 0.5245166498958266']"
HBV00000NE24H,"['HBV00000NE1OA - 0.4299454823980115', 'HBV00000NE158 - 0.396840437234018', 'HBV00000NE1FA - 0.3699811156120518', 'HBV00000NE1HJ - 0.24276161959875242', 'HBV00000NE1SP - 0.22989521563232243', 'HBV00000NE259 - 0.2270157004715045', 'HBV00000NE0WG - 0.17553004421341767', 'HBV00000NE1E9 - 0.14193268003393947', 'HBV00000NE257 - 0.13612000834648305', 'HBV00000NE0TW - 0.12868336817019815', 'HBV00000NFH57 - 0.08302410710399172', 'HBV00000NE0TU - 0.019180326111882494', 'HBV00000P7VR8 - 0.013181627223834624', 'HBV00000PLGWT - 0.005696866846868252']"
HBV00000NE24J,['HBV00000NE1WR - 0.7322449647826639']
HBV00000NE24P,"['HBV00000NE24R - 0.033569097958246565', 'HBV00000NE1WT - 0.03212185772568045']"
HBV00000NE24R,['HBV00000NE24P - 0.033569097958246565']
HBV00000NE24Z,"['HBV00000NE1XN - 0.24295578264682696', 'HBV00000NE253 - 0.17452712186006616', 'HBV00000OE7OC - 0.10292529290933562', 'HBV000006IYYQ - 0.021328180439420703']"
HBV00000NE253,"['HBV00000OE7OC - 0.18465848702580928', 'HBV00000NE24Z - 0.17452712186006616', 'HBV000006IYYQ - 0.07025376295099811']"
HBV00000NE257,"['HBV00000NE259 - 0.3100218984438218', 'HBV00000QS9QR - 0.1806953998078776', 'HBV00000NE1FA - 0.17778488759223707', 'HBV00000NE0WG - 0.1731746522494525', 'HBV00000NE1SP - 0.1614618212545677', 'HBV00000NE1OA - 0.15677100358896728', 'HBV00000NE158 - 0.153702226425206', 'HBV00000NE1E9 - 0.15207705242660238', 'HBV00000NE0TW - 0.14412895710220835', 'HBV00000NE24H - 0.13612000834648305', 'HBV00000NE1BO - 0.1280696823984706', 'HBV00000NE1XR - 0.10887173845969011', 'HBV00000NE1HJ - 0.1029896354778735', 'HBV00000NE0X1 - 0.0900915746431586', 'HBV00000NE0TU - 0.0895698785208744', 'HBV00000NE1EX - 0.08558857322030539', 'HBV00000PQKB6 - 0.07827827949526323', 'HBV00000JUHBC - 0.07457246458703319', 'HBV00000P7VR8 - 0.07140941365268488', 'HBV00000NE1T4 - 0.06461783680496708', 'HBV00000PLGWT - 0.05106756100085231', 'HBV00000NFH57 - 0.05004743282505047', 'HBV00000SP6XZ - 0.03676960516331895', 'HBV00000NE12P - 0.03337774288313526', 'HBV00000PVCI5 - 0.029554344136771455', 'HBV00000SP6XX - 0.018860584939028435', 'HBV00000QU46J - 0.013463086856205349']"
HBV00000NE259,"['HBV00000NE257 - 0.3100218984438218', 'HBV00000NE1OA - 0.253361629698036', 'HBV00000NE158 - 0.25308714781257', 'HBV00000NE24H - 0.2270157004715045', 'HBV00000NE1FA - 0.2228704821146202', 'ZYHPREISBBKL014 - 0.19457079447149744', 'HBV00000NE1E9 - 0.18516968989025842', 'HBV00000NE0WG - 0.1763001164384167', 'HBV00000NE1XR - 0.17198134506232268', 'HBV00000NE1SP - 0.16408797807485367', 'HBV00000NE1BO - 0.1493207502025697', 'HBV00000NE1HJ - 0.1372250588571093', 'HBV00000NE0TW - 0.12824733628715776', 'HBV00000NE1T4 - 0.09993210099197183', 'HBV00000SP6XZ - 0.09868590457882173', 'HBV00000PLGWT - 0.09580468469098911', 'HBV00000NE0TU - 0.0770993439579628', 'HBV00000JUHBC - 0.07177816930873787', 'HBV00000P7VR8 - 0.07110064506991493', 'HBV00000QU3YB - 0.0652577742984059', 'HBV00000QU46J - 0.047135461437752796', 'HBV00000NFH57 - 0.04537080122975688', 'HBV00000PQIRB - 0.04039271972612724', 'HBV00000NFMR0 - 0.03397530988502362', 'HBV00000NE12P - 0.021986049127992624', 'HBV00000PVCIJ - 0.010586641586143615', 'HBV00000QX1ZD - 0.0005471796046077027']"
HBV00000NFGQQ,"['HBV00000PLGX6 - 0.3773260406317495', 'HBV00000QSG5M - 0.2566058008807457', 'HBV00000NFHE2 - 0.2159825238069599', 'HBV00000NFHG1 - 0.21414294890621272', 'HBV00000PLGXW - 0.21257543122314818', 'HBV00000QSG5K - 0.19457079447149744', 'HBV00000NFHE0 - 0.1813551129290251', 'HBV00000OE8AU - 0.15355977051339723', 'HBV00000QSG5I - 0.0721794858776839']"
HBV00000NFGTH,['HBV00000NFH57 - 0.412070980377921']
HBV00000NFGTL,['HBV00000NFH57 - 0.2699601255019213']
HBV00000NFGTP,"['HBV00000QX1U1 - 0.17506273403272168', 'HBV00000P7VOZ - 0.11660179093388699', 'HBV00000NFGTT - 0.10725281917339147', 'HBV00000IQDKH - 0.07874582877444421', 'HBV00000SP76Y - 0.05172463727118447', 'HBV00000LML58 - 0.03333184187752187']"
HBV00000NFGTT,"['HBV00000PLGE8 - 0.21420121542052054', 'HBV00000IQDKH - 0.19527564441530607', 'HBV00000NFGTP - 0.10725281917339147', 'HBV00000P7VP1 - 0.10281102423670913', 'HBV00000SP76Y - 0.08587221616431448', 'HBV00000LML58 - 0.04447303356420247']"
HBV00000NFGUJ,['HBV00000NFGUL - 0.36563905846222877']
HBV00000NFGUL,"['HBV00000NFGUR - 0.3952100980086617', 'HBV00000NFGUJ - 0.3656390584622289']"
HBV00000NFGUR,['HBV00000NFGUL - 0.3952100980086617']
HBV00000NFGVX,['HBV00000QSG5I - 0.28867771967208894']
HBV00000NFGWV,"['ZYULKER040275 - 0.4676848692261936', 'HBV00000PQLTS - 0.30814170489229953', 'ZYHPETICECIK008 - 0.20944996703418392', 'ZYHPULKERCIK042 - 0.056167225989110094', 'HBV00000NFH09 - 0.04163756072607389', 'HBV00000NFH6V - 0.030036268000232177']"
HBV00000NFGXT,"['HBV00000JUHKQ - 0.44105037308743966', 'ZYHPSOLENKGF005 - 0.3990801243186609', 'HBV00000JUHKS - 0.3556887831511573', 'HBV00000PVBEX - 0.31932952065982434', 'HBV00000PNGP2 - 0.26143574695015215', 'ZYHPULKERCIK042 - 0.09374401717547612', 'HBV00000JUHKU - 0.029262250453831185']"
HBV00000NFGXX,"['HBV000006IZ7R - 0.36673855333027583', 'ZYHPETICEKEK045 - 0.15881512141043594']"
HBV00000NFGY1,['ZYHPETICEKEK045 - 0.24642049930083873']
HBV00000NFH09,"['HBV00000PV8AP - 0.3039674183088103', 'ZYHPULKERKGF024 - 0.1486941261877077', 'HBV00000NFH6R - 0.14392494660623803', 'HBV00000PVCRM - 0.13841598855442833', 'HBV00000QU463 - 0.10983563422741593', 'HBV00000QU4C0 - 0.08722010355237299', 'HBV00000PV795 - 0.061406425166528715', 'ZYIDP80050100 - 0.050459784686133505', 'HBV00000PNG8N - 0.04866744151985661', 'HBV00000NFGWV - 0.04163756072607389', 'HBV00000PVCRI - 0.04007004304300935', 'HBV00000QU6IN - 0.03658256423546541', 'HBV00000P7VMU - 0.0331483314637313', 'HBV00000QU6IH - 0.018370979300643308', 'HBV00000QU4CC - 0.011503002194573618', 'HBV00000QU6IR - 0.006817878371729111', 'ZYHPULKERCIK042 - 0.0004663816332422817', 'HBV00000PQLTS - 0.0002663479364421721']"
HBV00000NFH12,['HBV00000NFHLJ - 0.22396712497829085']
HBV00000NFH2G,['HBV00000NFH2I - 0.6373346891666424']
HBV00000NFH2I,['HBV00000NFH2G - 0.6373346891666424']
HBV00000NFH4N,['HBV00000NFHLJ - 0.09988068074321026']
HBV00000NFH57,"['HBV00000NFGTH - 0.41207098037792095', 'HBV00000QS9QR - 0.28164783887830613', 'HBV00000NFGTL - 0.2699601255019213', 'HBV00000NE1OA - 0.16838569704027412', 'ZYDUTAT90635260997 - 0.14493344670027558', 'HBV00000NE1E9 - 0.09953314625186628', 'HBV00000NE0WG - 0.0894574686919851', 'HBV00000NE24H - 0.08302410710399172', 'HBV00000SPBM6 - 0.06829564066409355', 'HBV00000P7VR8 - 0.05004743282505047', 'HBV00000NE257 - 0.05004743282505047', 'HBV00000NE259 - 0.04537080122975688', 'HBV00000NE1FA - 0.03109408999719096', 'HBV00000QS9QI - 0.01923148336055741']"
HBV00000NFH6R,"['HBV00000QU6IR - 0.2884398160251341', 'HBV00000NFH09 - 0.14392494660623797', 'HBV00000PV7AL - 0.1077813927608756']"
HBV00000NFH6V,"['HBV00000QU4CM - 0.07517470825931508', 'HBV00000PQLTS - 0.04900778689187504', 'HBV00000QU6IR - 0.045206366539903384', 'HBV00000NFGWV - 0.030036268000232177', 'HBV00000PVCR7 - 0.014517157944106823']"
HBV00000NFH73,"['HBV00000PQLTS - 0.17199551393116475', 'ZYHPETICECIK008 - 0.12693144559447467']"
HBV00000NFH89,['HBV00000SP76S - 0.045268945790296']
HBV00000NFH8F,"['HBV00000QS9KM - 0.18217769760841954', 'HBV00000P7Z96 - 0.04840554321959316', 'HBV00000SP6YX - 0.006544091491497853']"
HBV00000NFH8V,['HBV00000P7VS3 - 1.0']
HBV00000NFHAE,"['PTRIT5118784 - 0.5253331222159531', 'HBV00000QX1W5 - 0.4663174615062022']"
HBV00000NFHC6,"['HBV00000NFHCA - 0.5094568188845792', 'HBV00000NFHC8 - 0.49024675838584375', 'HBV00000NFHCQ - 0.44683271250380013']"
HBV00000NFHC8,"['HBV00000NFHCQ - 0.5558625369057077', 'HBV00000NFHCA - 0.5050480103627208', 'HBV00000NFHC6 - 0.49024675838584375']"
HBV00000NFHCA,"['HBV00000NFHCQ - 0.5248791606547519', 'HBV00000NFHC6 - 0.5094568188845792', 'HBV00000NFHC8 - 0.5050480103627208']"
HBV00000NFHCQ,"['HBV00000NFHC8 - 0.5558625369057077', 'HBV00000NFHCA - 0.5248791606547518', 'HBV00000NFHC6 - 0.44683271250380013']"
HBV00000NFHE0,"['HBV00000NFHE2 - 0.4159842466707777', 'HBV00000NFGQQ - 0.1813551129290251', 'HBV00000QSG5K - 0.18066192939977652']"
HBV00000NFHE2,"['HBV00000NFHE0 - 0.4159842466707777', 'HBV00000NFGQQ - 0.21598252380696', 'HBV00000NFHG1 - 0.09593094788668595', 'HBV00000QSG5K - 0.05491992392858583']"
HBV00000NFHEE,"['HBV00000NFI0P - 0.8412906493201149', 'HBV00000NFHLJ - 0.39945433481459575']"
HBV00000NFHEX,"['HBV00000PVBEH - 0.48542534771164747', 'HBV00000UIYCA - 0.14612438463637728']"
HBV00000NFHG1,"['HBV00000QSG5K - 0.23889983426398662', 'HBV00000PLGX6 - 0.23872243845256202', 'HBV00000NFGQQ - 0.21414294890621272', 'HBV00000OE8AU - 0.19259591016832306', 'HBV00000QSG5M - 0.15019099869959882', 'HBV00000NFHE2 - 0.095930947886686', 'HBV00000PLGXW - 0.08472175951861645']"
HBV00000NFHG9,"['HBV00000NFHGF - 0.34050570380661027', 'HBV00000NFHGH - 0.32474485500907996', 'HBV00000NFHGN - 0.303305985485695', 'HBV00000NFHGB - 0.2187365086227197']"
HBV00000NFHGB,"['HBV00000NFHGN - 0.23327974783269464', 'HBV00000NFHG9 - 0.2187365086227197', 'HBV00000NFHGF - 0.20178756615924273']"
HBV00000NFHGF,"['HBV00000NFHGN - 0.4057154354132435', 'HBV00000NFHG9 - 0.3405057038066104', 'HBV00000NFHGH - 0.307795912545603', 'HBV00000NFHGB - 0.20178756615924273']"
HBV00000NFHGH,"['HBV00000NFHG9 - 0.32474485500907996', 'HBV00000NFHGF - 0.307795912545603']"
HBV00000NFHGN,"['HBV00000NFHGF - 0.4057154354132435', 'HBV00000NFHG9 - 0.303305985485695', 'HBV00000NFHGB - 0.23327974783269464', 'HBV00000SP842 - 0.06254466197052465']"
HBV00000NFHGX,"['HBV00000NFHH1 - 0.5262894340970697', 'HBV00000NFHGZ - 0.4862235286606169']"
HBV00000NFHGZ,['HBV00000NFHGX - 0.48622352866061685']
HBV00000NFHH1,['HBV00000NFHGX - 0.5262894340970697']
HBV00000NFHIF,['ZYBICN9287272 - 0.10968190514165715']
HBV00000NFHIJ,"['HBV00000NFHIL - 0.17523037472619785', 'HBV00000NFHIN - 0.16980992262761654']"
HBV00000NFHIL,['HBV00000NFHIJ - 0.17523037472619785']
HBV00000NFHIN,['HBV00000NFHIJ - 0.16980992262761654']
HBV00000NFHJR,['ZYBICN9287641 - 0.11578205075655112']
HBV00000NFHJT,['HBV00000NFHJX - 0.23471705545294655']
HBV00000NFHJV,['HBV00000NFHJX - 0.3063493617260227']
HBV00000NFHJX,"['HBV00000OE82H - 0.4622644171276123', 'HBV00000OE82F - 0.3108037226735587', 'HBV00000NFHJV - 0.3063493617260227', 'HBV00000NFHJT - 0.23471705545294644', 'ZYBICN9287634 - 0.08051256249423598']"
HBV00000NFHJZ,"['HBV00000SP6YX - 0.11846876974643675', 'ZYECZACI8614017 - 0.04380542631216838']"
HBV00000NFHK5,['HBV00000PQKR6 - 0.2960163690486417']
HBV00000NFHKN,"['HBV00000PV6WS - 0.350492495809149', 'HBV00000PLGWF - 0.006645973222187029']"
HBV00000NFHLJ,"['HBV00000NFHEE - 0.39945433481459564', 'HBV00000NFI4A - 0.3496622146338505', 'HBV00000NFHLV - 0.2245358683336997', 'HBV00000NFH12 - 0.22396712497829085', 'HBV00000NFH4N - 0.09988068074321026', 'HBV00000SP6YX - 0.022063201547623257']"
HBV00000NFHLL,"['ZYUNIL20040349 - 0.30172391483932665', 'HBV00000NFHLN - 0.29111881858211974', 'HBV00000PV6SR - 0.15051156474086416']"
HBV00000NFHLN,['HBV00000NFHLL - 0.29111881858211974']
HBV00000NFHLV,['HBV00000NFHLJ - 0.2245358683336997']
HBV00000NFHMI,['HBV00000SPBM6 - 0.16080157777351947']
HBV00000NFHNK,"['ZYSULKORO331 - 0.45636873535939926', 'HBV00000PLGK5 - 0.2739598139438163']"
HBV00000NFHRO,['HBV00000P7VR8 - 0.06980842556151935']
HBV00000NFHXJ,"['HBV00000SPIEN - 0.19706633234242174', 'HBV00000SPIEB - 0.15794820491714906']"
HBV00000NFHXV,['HBV00000SPIEN - 0.21106856168952176']
HBV00000NFI0P,['HBV00000NFHEE - 0.8412906493201149']
HBV00000NFI14,['HBV00000NFI1A - 0.14177777480281387']
HBV00000NFI1A,['HBV00000NFI14 - 0.14177777480281392']
HBV00000NFI40,['HBV00000NFI46 - 0.4176673438620438']
HBV00000NFI44,['HBV00000NFI48 - 0.7683995939467443']
HBV00000NFI46,"['HBV00000NFI40 - 0.4176673438620438', 'HBV00000SP842 - 0.06254466197052465']"
HBV00000NFI48,['HBV00000NFI44 - 0.7683995939467443']
HBV00000NFI4A,['HBV00000NFHLJ - 0.3496622146338505']
HBV00000NFI7R,['HBV00000NFI82 - 0.3089295791732002']
HBV00000NFI82,"['HBV00000NFI7R - 0.3089295791732002', 'HBV00000SP848 - 0.20432059862118282']"
HBV00000NFI84,['HBV00000NG8MZ - 0.29519811468242096']
HBV00000NFML6,['HBV00000OE6QS - 0.5890074334657105']
HBV00000NFML8,"['HBV00000NE1EV - 0.3183809929746041', 'HBV00000SP6XX - 0.22148159828276545']"
HBV00000NFMLA,"['HBV00000NE106 - 0.6421385840622065', 'HBV00000NE1D3 - 0.5189711808150108', 'HBV00000NE0ZW - 0.452588177842996', 'HBV00000NE0ZU - 0.4404264118628543', 'HBV00000NE1EX - 0.3732252867947615', 'HBV00000SP6XX - 0.3376841463995065', 'HBV00000NG8K2 - 0.00802249456482124', 'HBV00000QU3ZD - 0.00802249456482124']"
HBV00000NFMMC,"['ZYHPETICEDIY011 - 0.3874227035660142', 'ZYHPETICEDIY004 - 0.3694180668143635', 'HBV00000OE95O - 0.32938291370241374', 'HBV00000NE11I - 0.32840704285626326', 'ZYHPETICEDIY014 - 0.3133934113886475', 'HBV00000PV7A2 - 0.20997450176988183']"
HBV00000NFMMQ,"['HBV00000NFMND - 0.32407951659220746', 'HBV00000P7VPG - 0.2024397495016776', 'HBV00000SP6TO - 0.10723983957045093']"
HBV00000NFMND,['HBV00000NFMMQ - 0.32407951659220746']
HBV00000NFMNF,"['HBV00000JUHBC - 0.32605984370893787', 'HBV00000NG8K2 - 0.03304135281982915']"
HBV00000NFMQ2,"['HBV00000NE1Q4 - 0.6225958083093364', 'HBV00000PQLJ6 - 0.33836167063832945', 'ZYHPDROETYRD009 - 0.26284602039247', 'ZYHPDROETYRD010 - 0.1980582732790413']"
HBV00000NFMQY,['HBV00000P7VR8 - 0.024452548961457068']
HBV00000NFMR0,"['HBV00000NE1FQ - 0.12026723001401543', 'HBV00000NE259 - 0.03397530988502362', 'HBV00000NE1E9 - 0.018372063722726432', 'HBV00000NE0TU - 0.004112672057231864']"
HBV00000NFMU3,"['HBV00000NFMU9 - 0.5408522322720785', 'HBV00000NFMUN - 0.4634519720898769', 'HBV00000NFMUH - 0.4364123143941059', 'HBV00000NFMUJ - 0.4351306136201801']"
HBV00000NFMU9,"['HBV00000NFMUJ - 0.562876116110207', 'HBV00000NFMU3 - 0.5408522322720785']"
HBV00000NFMUH,"['HBV00000NFMU3 - 0.4364123143941059', 'HBV00000NFMUN - 0.4306443604849806']"
HBV00000NFMUJ,"['HBV00000NFMU9 - 0.5628761161102072', 'HBV00000NFMUL - 0.5437926385507875', 'HBV00000NFMUN - 0.45080152923443967', 'HBV00000NFMU3 - 0.4351306136201801']"
HBV00000NFMUL,"['HBV00000NFMUJ - 0.5437926385507874', 'HBV00000NFMUN - 0.49642864636881806']"
HBV00000NFMUN,"['HBV00000NFMUL - 0.49642864636881806', 'HBV00000NFMU3 - 0.4634519720898769', 'HBV00000NFMUJ - 0.45080152923443967', 'HBV00000NFMUH - 0.4306443604849806']"
HBV00000NG8FM,"['HBV00000U27H6 - 0.5629062683520079', 'HBV00000NGA0E - 0.507517323766056', 'HBV00000NG8FO - 0.19466502443527822']"
HBV00000NG8FO,"['HBV00000NG8FM - 0.19466502443527822', 'HBV00000PQK4A - 0.18859436845217406', 'HBV00000P7QPD - 0.14387414277333077', 'HBV00000NG8FS - 0.13225657124079834', 'HBV00000NG8FQ - 0.01824043025791383', 'HBV00000NG8FU - 0.010455319249382599']"
HBV00000NG8FQ,"['HBV00000NG8FS - 0.19452522762739233', 'HBV00000P7QPD - 0.18399989814716156', 'HBV00000PQK4A - 0.17517767418710195', 'HBV00000NG8FU - 0.13173963634572744', 'HBV000002XD9R - 0.08785154881826089', 'HBV00000NG8FO - 0.018240430257913783']"
HBV00000NG8FS,"['HBV00000PQK4A - 0.3291311479380472', 'HBV00000P7QPD - 0.28312922148527814', 'HBV00000NG8FQ - 0.19452522762739233', 'HBV00000NG8FU - 0.17520231186330476', 'HBV00000NG8FO - 0.1322565712407983']"
HBV00000NG8FU,"['HBV00000NG8FS - 0.17520231186330482', 'HBV000002XD9P - 0.17170686317685677', 'HBV00000NG8FQ - 0.1317396363457275', 'HBV00000P7QPD - 0.12210928870203909', 'HBV00000U27H6 - 0.06553938139140941', 'HBV000002XD9R - 0.027517609096073162', 'HBV00000NG8FO - 0.010455319249382599']"
HBV00000NG8HT,['HBV00000U2B9I - 0.5477739438513565']
HBV00000NG8JY,['HBV00000NE23X - 0.002846620715520312']
HBV00000NG8K2,"['ZYBICN9286983 - 0.12218781310389858', 'ZYHPESKINTSK004 - 0.11436807444130495', 'HBV00000PQKB6 - 0.09957542610485909', 'HBV00000NE1EX - 0.08970654410453527', 'HBV00000QU3XR - 0.06119528450306312', 'ZYHPREISBBKL011 - 0.06119528450306307', 'HBV00000NE10E - 0.05448022234321402', 'HBV00000NE1D3 - 0.03637382676728645', 'HBV00000NFMNF - 0.03304135281982915', 'HBV00000NE0ZU - 0.02946136408820616', 'HBV00000QX1ZD - 0.026520957809497193', 'HBV00000PVCJ8 - 0.015327709481630395', 'HBV00000SP6XX - 0.014983153053940868', 'HBV00000SP6YC - 0.014021193452869162', 'HBV00000NE0ZW - 0.013663865534630983', 'HBV000004FX7O - 0.008516321057846428', 'HBV00000NE1MV - 0.008516321057846428', 'HBV00000NFMLA - 0.00802249456482124', 'ZYHPULKERMRG012 - 0.00802249456482124', 'HBV00000P7VR8 - 0.00150209955448928']"
HBV00000NG8KO,"['HBV00000OE7GM - 0.12298121549976118', 'HBV00000NE0XG - 0.05638413008958472']"
HBV00000NG8MZ,['HBV00000NFI84 - 0.29519811468242096']
HBV00000NG8NP,"['HBV00000NG8NT - 0.501633551480255', 'HBV00000NG8NX - 0.4792671017672445', 'HBV00000NG8O5 - 0.46248924261082464', 'HBV00000NG8OF - 0.3871388702447857', 'HBV00000NG8O9 - 0.38591304771663915', 'HBV00000H1O7F - 0.20490561293592663', 'HBV00000LML58 - 0.03645913185353427']"
HBV00000NG8NT,['HBV00000NG8NP - 0.5016335514802551']
HBV00000NG8NX,"['HBV00000NG8O9 - 0.5194616534052181', 'HBV00000NG8NZ - 0.49802278388183324', 'HBV00000NG8NP - 0.47926710176724446', 'HBV00000NG8OF - 0.43453801171618167']"
HBV00000NG8NZ,['HBV00000NG8NX - 0.4980227838818333']
HBV00000NG8O5,['HBV00000NG8NP - 0.4624892426108245']
HBV00000NG8O9,"['HBV00000NG8NX - 0.5194616534052182', 'HBV00000NG8OF - 0.4058945523593745', 'HBV00000NG8NP - 0.38591304771663926']"
HBV00000NG8OF,"['HBV00000NG8NX - 0.43453801171618167', 'HBV00000NG8O9 - 0.4058945523593745', 'HBV00000NG8NP - 0.3871388702447857']"
HBV00000NG8QN,['HBV00000NG8QP - 0.40259214161253587']
HBV00000NG8QP,"['HBV00000NG8QN - 0.40259214161253587', 'HBV00000NG8QR - 0.271498543946723', 'HBV00000NG8QT - 0.236824217253157', 'HBV00000OE819 - 0.1456197565453656']"
HBV00000NG8QR,"['HBV00000NG8QP - 0.271498543946723', 'HBV00000NG8QT - 0.23494188093615875']"
HBV00000NG8QT,"['HBV00000NG8QP - 0.236824217253157', 'HBV00000NG8QR - 0.23494188093615875', 'HBV00000OE817 - 0.13806123184850008']"
HBV00000NG8S5,"['HBV00000NG8SB - 0.35941918170264586', 'HBV00000NG8S9 - 0.20844801492216544']"
HBV00000NG8S9,['HBV00000NG8S5 - 0.20844801492216544']
HBV00000NG8SB,['HBV00000NG8S5 - 0.35941918170264586']
HBV00000NGA0E,"['HBV00000NG8FM - 0.507517323766056', 'HBV00000U27H6 - 0.39446160080943155']"
HBV00000NGSTC,"['HBV00000NGSTE - 0.2807269046247424', 'HBV00000JT7PY - 0.24647968569171508', 'HBV00000O3C5Y - 0.2018800190488418']"
HBV00000NGSTE,['HBV00000NGSTC - 0.2807269046247424']
HBV00000NGSTK,"['HBV00000JT7PY - 0.3384889339385999', 'HBV00000O3C5Y - 0.21820391664406047']"
HBV00000NGXFL,['HBV00000PVBJY - 0.273759245159036']
HBV00000NH2GJ,"['HBV00000NH2GP - 0.03612601509116254', 'HBV00000U2790 - 0.009580122275219252']"
HBV00000NH2GP,"['HBV00000NH2GJ - 0.036126015091162485', 'ZYHPERIKLSSU001 - 0.00377033655185636']"
HBV00000NH2LL,"['HBV00000QX264 - 0.3779269593379824', 'ZYULKERSSU002 - 0.16467698238307402', 'ZYBICN9286937 - 0.07820823084865121', 'HBV00000QS9LY - 0.004780621680915412']"
HBV00000NVZ8L,['HBV00000O3C6C - 0.0029401583139569932']
HBV00000NVZ9U,"['HBV00000O2S8L - 0.07146982398666632', 'HBV00000TNRPK - 0.07045430137135704', 'HBV00000TIRUD - 0.049430318920209']"
HBV00000NVZB2,"['HBV00000OE7ZB - 0.05063870551448352', 'HBV00000O2SDJ - 0.011710454559299293']"
HBV00000NVZB4,['HBV00000TIRUP - 0.0036932151848000573']
HBV00000NVZD0,['HBV00000OEL86 - 0.5682108612627228']
HBV00000NVZD6,"['HBV00000O2S8L - 0.25349390719507225', 'HBV00000O2SJH - 0.15842126056411596', 'HBV00000UOH9M - 0.09461767466871542', 'HBV00000PUQCU - 0.0036974058840433905']"
HBV00000NVZDS,"['HBV00000NVZGE - 0.24930913025943705', 'HBV00000NVZGK - 0.16290096805257998', 'HBV00000NVZFW - 0.1370400009468541', 'HBV00000NVZFA - 0.011776639038092477']"
HBV00000NVZE0,['HBV00000NVZGC - 0.07129909049719081']
HBV00000NVZES,['HBV00000NVZEW - 0.18300041938842143']
HBV00000NVZEW,['HBV00000NVZES - 0.18300041938842143']
HBV00000NVZF2,"['HBV00000NVZF8 - 0.19073579514353756', 'HBV00000NVZFI - 0.16341446525823475', 'HBV00000NVZFO - 0.12966589296724637', 'HBV00000NVZG6 - 0.10185710657604585', 'HBV00000NVZFS - 0.0141335430224035']"
HBV00000NVZF8,"['HBV00000NVZF2 - 0.1907357951435376', 'HBV00000NVZFI - 0.08613606349171796']"
HBV00000NVZFA,"['HBV00000NVZFY - 0.014156956247496015', 'HBV00000NVZDS - 0.011776639038092477']"
